startDate,endDate,displayDate,approve,disapprove,label
20-Jan,29-Jan,30-Jan,0.489,0.438,Approve +5.2
21-Jan,30-Jan,31-Jan,0.489,0.438,Approve +5.2
22-Jan,31-Jan,1-Feb,0.489,0.447,Approve +4.3
23-Jan,1-Feb,2-Feb,0.489,0.447,Approve +4.3
24-Jan,2-Feb,3-Feb,0.485,0.448,Approve +3.7
25-Jan,3-Feb,4-Feb,0.477,0.458,Approve +1.9
26-Jan,4-Feb,5-Feb,0.479,0.448,Approve +3.1
27-Jan,5-Feb,6-Feb,0.483,0.457,Approve +2.7
28-Jan,6-Feb,7-Feb,0.478,0.468,Approve +1
29-Jan,7-Feb,8-Feb,0.487,0.468,Approve +1.9
30-Jan,8-Feb,9-Feb,0.487,0.468,Approve +1.9
31-Jan,9-Feb,10-Feb,0.487,0.468,Approve +1.9
1-Feb,10-Feb,11-Feb,0.485,0.485,Even
2-Feb,11-Feb,12-Feb,0.478,0.478,Even
3-Feb,12-Feb,13-Feb,0.480,0.470,Approve +1
4-Feb,13-Feb,14-Feb,0.480,0.470,Approve +1
5-Feb,14-Feb,15-Feb,0.480,0.470,Approve +1
6-Feb,15-Feb,16-Feb,0.480,0.453,Approve +2.7
7-Feb,16-Feb,17-Feb,0.480,0.464,Approve +1.6
8-Feb,17-Feb,18-Feb,0.468,0.474,Disapprove +0.6
9-Feb,18-Feb,19-Feb,0.466,0.480,Disapprove +1.4
10-Feb,19-Feb,20-Feb,0.466,0.480,Disapprove +1.4
11-Feb,20-Feb,21-Feb,0.462,0.483,Disapprove +2.1
12-Feb,21-Feb,22-Feb,0.464,0.493,Disapprove +2.9
13-Feb,22-Feb,23-Feb,0.464,0.493,Disapprove +2.9
14-Feb,23-Feb,24-Feb,0.464,0.491,Disapprove +2.8
15-Feb,24-Feb,25-Feb,0.464,0.491,Disapprove +2.8
16-Feb,25-Feb,26-Feb,0.461,0.491,Disapprove +3
17-Feb,26-Feb,27-Feb,0.457,0.486,Disapprove +2.9
18-Feb,27-Feb,28-Feb,0.460,0.488,Disapprove +2.8
