startDate,endDate,displayDate,economy,immigration,inflation,trade
20-Jan,29-Jan,30-Jan,0.080,0.077,0.000,0.000
21-Jan,30-Jan,31-Jan,0.080,0.077,0.000,0.000
22-Jan,31-Jan,1-Feb,0.087,0.077,0.060,0.000
23-Jan,1-Feb,2-Feb,0.087,0.077,0.060,0.000
24-Jan,2-Feb,3-Feb,0.073,0.077,0.010,-0.040
25-Jan,3-Feb,4-Feb,0.050,0.040,0.010,-0.040
26-Jan,4-Feb,5-Feb,0.033,0.063,-0.025,-0.040
27-Jan,5-Feb,6-Feb,0.030,0.060,-0.030,-0.040
28-Jan,6-Feb,7-Feb,0.030,0.110,-0.025,-0.040
29-Jan,7-Feb,8-Feb,0.030,0.110,-0.025,-0.040
30-Jan,8-Feb,9-Feb,0.030,0.110,-0.025,-0.040
31-Jan,9-Feb,10-Feb,0.030,0.110,-0.025,-0.040
1-Feb,10-Feb,11-Feb,0.030,0.110,-0.025,-0.040
2-Feb,11-Feb,12-Feb,0.017,0.110,-0.055,-0.040
3-Feb,12-Feb,13-Feb,0.010,0.110,-0.070,
4-Feb,13-Feb,14-Feb,0.025,0.115,-0.070,-0.050
5-Feb,14-Feb,15-Feb,0.025,0.120,-0.070,-0.050
6-Feb,15-Feb,16-Feb,0.025,0.120,-0.070,-0.050
7-Feb,16-Feb,17-Feb,-0.023,0.035,-0.070,-0.050
8-Feb,17-Feb,18-Feb,-0.028,0.033,-0.085,-0.050
9-Feb,18-Feb,19-Feb,-0.040,0.037,-0.107,-0.085
10-Feb,19-Feb,20-Feb,-0.040,0.037,-0.107,-0.067
11-Feb,20-Feb,21-Feb,-0.043,0.048,-0.105,-0.067
12-Feb,21-Feb,22-Feb,-0.043,0.048,-0.105,-0.067
13-Feb,22-Feb,23-Feb,-0.043,0.048,-0.105,-0.067
14-Feb,23-Feb,24-Feb,-0.054,0.044,-0.105,-0.075
15-Feb,24-Feb,25-Feb,-0.046,0.045,-0.105,-0.075
16-Feb,25-Feb,26-Feb,-0.048,0.045,-0.120,-0.075
17-Feb,26-Feb,27-Feb,-0.030,0.074,-0.120,-0.075
18-Feb,27-Feb,28-Feb,-0.029,0.088,-0.127,-0.075
19-Feb,28-Feb,1-Mar,-0.007,0.102,-0.090,
20-Feb,1-Mar,2-Mar,-0.010,0.102,-0.103,
21-Feb,2-Mar,3-Mar,-0.014,0.080,-0.132,
22-Feb,3-Mar,4-Mar,-0.013,0.080,-0.132,
23-Feb,4-Mar,5-Mar,-0.034,0.087,-0.148,-0.105
24-Feb,5-Mar,6-Mar,-0.029,0.097,-0.150,-0.105
25-Feb,6-Mar,7-Mar,-0.033,0.105,-0.150,-0.105
26-Feb,7-Mar,8-Mar,-0.033,0.105,-0.150,-0.105
27-Feb,8-Mar,9-Mar,-0.045,0.090,-0.150,-0.105
28-Feb,9-Mar,10-Mar,-0.056,0.080,-0.145,-0.143
1-Mar,10-Mar,11-Mar,-0.082,0.064,-0.156,-0.143
2-Mar,11-Mar,12-Mar,-0.096,0.071,-0.171,-0.185
3-Mar,12-Mar,13-Mar,-0.095,0.083,-0.155,-0.195
4-Mar,13-Mar,14-Mar,-0.086,0.095,-0.155,-0.163
5-Mar,14-Mar,15-Mar,-0.086,0.090,-0.137,-0.163
6-Mar,15-Mar,16-Mar,-0.092,0.078,-0.130,-0.163
7-Mar,16-Mar,17-Mar,-0.103,0.078,-0.130,-0.163
8-Mar,17-Mar,18-Mar,-0.101,0.078,-0.138,-0.163
9-Mar,18-Mar,19-Mar,-0.101,0.075,-0.130,-0.138
10-Mar,19-Mar,20-Mar,-0.089,0.086,-0.120,-0.110
11-Mar,20-Mar,21-Mar,-0.095,0.090,-0.120,-0.110
12-Mar,21-Mar,22-Mar,-0.094,0.085,-0.118,-0.110
13-Mar,22-Mar,23-Mar,-0.091,0.084,-0.118,-0.080
14-Mar,23-Mar,24-Mar,-0.108,0.070,-0.138,-0.060
15-Mar,24-Mar,25-Mar,-0.116,0.056,-0.148,-0.140
16-Mar,25-Mar,26-Mar,-0.116,0.059,-0.145,-0.140
17-Mar,26-Mar,27-Mar,-0.109,0.059,-0.145,-0.140
18-Mar,27-Mar,28-Mar,-0.090,0.063,-0.138,-0.123
19-Mar,28-Mar,29-Mar,-0.090,0.062,-0.135,-0.155
20-Mar,29-Mar,30-Mar,-0.094,0.056,-0.148,-0.155
21-Mar,30-Mar,31-Mar,-0.079,0.066,-0.135,-0.155
22-Mar,31-Mar,1-Apr,-0.079,0.066,-0.135,-0.155
