startDate,endDate,displayDate,approve,disapprove,label
20-Jan,29-Jan,30-Jan,43.10%,41.80%,Favorable +1.4
21-Jan,30-Jan,31-Jan,43.10%,41.80%,Favorable +1.4
22-Jan,31-Jan,1-Feb,43.30%,41.40%,Favorable +1.9
23-Jan,1-Feb,2-Feb,43.30%,41.40%,Favorable +1.9
24-Jan,2-Feb,3-Feb,42.40%,40.90%,Favorable +1.5
25-Jan,3-Feb,4-Feb,41.70%,40.70%,Favorable +1
26-Jan,4-Feb,5-Feb,41.20%,41.20%,Even
27-Jan,5-Feb,6-Feb,40.90%,41.70%,Unfavorable +0.9
28-Jan,6-Feb,7-Feb,40.50%,42.80%,Unfavorable +2.3
29-Jan,7-Feb,8-Feb,40.50%,42.80%,Unfavorable +2.3
30-Jan,8-Feb,9-Feb,40.50%,42.80%,Unfavorable +2.3
31-Jan,9-Feb,10-Feb,40.70%,42.80%,Unfavorable +2.2
1-Feb,10-Feb,11-Feb,41.20%,44.80%,Unfavorable +3.6
2-Feb,11-Feb,12-Feb,41.20%,44.80%,Unfavorable +3.6
3-Feb,12-Feb,13-Feb,41.00%,44.80%,Unfavorable +3.7
4-Feb,13-Feb,14-Feb,41.80%,44.00%,Unfavorable +2.2
5-Feb,14-Feb,15-Feb,41.80%,44.00%,Unfavorable +2.2
6-Feb,15-Feb,16-Feb,42.50%,43.80%,Unfavorable +1.2
7-Feb,16-Feb,17-Feb,43.70%,44.70%,Unfavorable +1
8-Feb,17-Feb,18-Feb,42.30%,43.30%,Unfavorable +1
9-Feb,18-Feb,19-Feb,42.40%,43.40%,Unfavorable +1
10-Feb,19-Feb,20-Feb,43.20%,43.80%,Unfavorable +0.7
11-Feb,20-Feb,21-Feb,43.00%,43.00%,Even
12-Feb,21-Feb,22-Feb,43.00%,43.00%,Even
13-Feb,22-Feb,23-Feb,43.00%,43.00%,Even
14-Feb,23-Feb,24-Feb,42.70%,43.30%,Unfavorable +0.7
15-Feb,24-Feb,25-Feb,42.70%,43.00%,Unfavorable +0.3
16-Feb,25-Feb,26-Feb,42.40%,43.00%,Unfavorable +0.6
17-Feb,26-Feb,27-Feb,42.40%,43.00%,Unfavorable +0.6
18-Feb,27-Feb,28-Feb,44.30%,44.30%,Even
19-Feb,28-Feb,1-Mar,44.80%,44.00%,Favorable +0.8
20-Feb,1-Mar,2-Mar,44.40%,43.60%,Favorable +0.8
21-Feb,2-Mar,3-Mar,43.20%,46.20%,Unfavorable +3
22-Feb,3-Mar,4-Mar,43.20%,46.20%,Unfavorable +3
23-Feb,4-Mar,5-Mar,43.40%,46.20%,Unfavorable +2.8
24-Feb,5-Mar,6-Mar,43.40%,46.20%,Unfavorable +2.8
25-Feb,6-Mar,7-Mar,44.00%,47.30%,Unfavorable +3.3
26-Feb,7-Mar,8-Mar,44.00%,47.30%,Unfavorable +3.3
27-Feb,8-Mar,9-Mar,44.00%,47.30%,Unfavorable +3.3
28-Feb,9-Mar,10-Mar,41.00%,47.00%,Unfavorable +6
1-Mar,10-Mar,11-Mar,40.90%,46.90%,Unfavorable +6.1
2-Mar,11-Mar,12-Mar,40.90%,47.20%,Unfavorable +6.3
3-Mar,12-Mar,13-Mar,42.20%,47.50%,Unfavorable +5.3
4-Mar,13-Mar,14-Mar,42.00%,47.20%,Unfavorable +5.1
5-Mar,14-Mar,15-Mar,41.90%,47.10%,Unfavorable +5.2
6-Mar,15-Mar,16-Mar,41.90%,47.10%,Unfavorable +5.2
7-Mar,16-Mar,17-Mar,41.80%,47.00%,Unfavorable +5.2
8-Mar,17-Mar,18-Mar,41.60%,47.00%,Unfavorable +5.4
9-Mar,18-Mar,19-Mar,41.60%,46.90%,Unfavorable +5.3
10-Mar,19-Mar,20-Mar,42.00%,47.10%,Unfavorable +5.1
11-Mar,20-Mar,21-Mar,41.60%,47.40%,Unfavorable +5.9
12-Mar,21-Mar,22-Mar,41.60%,47.50%,Unfavorable +5.9
13-Mar,22-Mar,23-Mar,40.30%,46.80%,Unfavorable +6.5
14-Mar,23-Mar,24-Mar,40.40%,47.40%,Unfavorable +7
15-Mar,24-Mar,25-Mar,40.80%,48.40%,Unfavorable +7.6
16-Mar,25-Mar,26-Mar,40.80%,48.80%,Unfavorable +8
17-Mar,26-Mar,27-Mar,40.80%,48.80%,Unfavorable +8
18-Mar,27-Mar,28-Mar,41.10%,48.00%,Unfavorable +6.9
19-Mar,28-Mar,29-Mar,40.70%,46.60%,Unfavorable +5.9
20-Mar,29-Mar,30-Mar,40.70%,46.60%,Unfavorable +5.9
21-Mar,30-Mar,31-Mar,41.50%,46.20%,Unfavorable +4.8
22-Mar,31-Mar,1-Apr,41.70%,46.70%,Unfavorable +5
23-Mar,1-Apr,2-Apr,41.40%,46.80%,Unfavorable +5.4
24-Mar,2-Apr,3-Apr,41.40%,47.10%,Unfavorable +5.7
25-Mar,3-Apr,4-Apr,41.20%,46.50%,Unfavorable +5.3
26-Mar,4-Apr,5-Apr,41.20%,46.50%,Unfavorable +5.3
27-Mar,5-Apr,6-Apr,41.20%,46.50%,Unfavorable +5.3
28-Mar,6-Apr,7-Apr,41.50%,46.70%,Unfavorable +5.2
29-Mar,7-Apr,8-Apr,42.20%,48.60%,Unfavorable +6.4
30-Mar,8-Apr,9-Apr,42.00%,48.60%,Unfavorable +6.6
31-Mar,9-Apr,10-Apr,41.40%,48.60%,Unfavorable +7.2
1-Apr,10-Apr,11-Apr,41.30%,47.00%,Unfavorable +5.7
2-Apr,11-Apr,12-Apr,41.00%,46.40%,Unfavorable +5.4
3-Apr,12-Apr,13-Apr,41.00%,45.80%,Unfavorable +4.8
4-Apr,13-Apr,14-Apr,41.00%,45.80%,Unfavorable +4.8
5-Apr,14-Apr,15-Apr,41.00%,45.20%,Unfavorable +4.2
6-Apr,15-Apr,16-Apr,41.00%,45.20%,Unfavorable +4.2
7-Apr,16-Apr,17-Apr,41.70%,45.30%,Unfavorable +3.7
8-Apr,17-Apr,18-Apr,41.70%,45.30%,Unfavorable +3.7
9-Apr,18-Apr,19-Apr,41.70%,45.30%,Unfavorable +3.7
10-Apr,19-Apr,20-Apr,42.20%,45.20%,Unfavorable +3
11-Apr,20-Apr,21-Apr,42.20%,46.80%,Unfavorable +4.6
12-Apr,21-Apr,22-Apr,40.30%,47.30%,Unfavorable +7
13-Apr,22-Apr,23-Apr,39.70%,47.10%,Unfavorable +7.4
14-Apr,23-Apr,24-Apr,38.60%,47.00%,Unfavorable +8.4
15-Apr,24-Apr,25-Apr,37.30%,48.10%,Unfavorable +10.9
16-Apr,25-Apr,26-Apr,37.30%,48.10%,Unfavorable +10.9
17-Apr,26-Apr,27-Apr,35.80%,48.30%,Unfavorable +12.5
18-Apr,27-Apr,28-Apr,35.80%,48.30%,Unfavorable +12.5
19-Apr,28-Apr,29-Apr,36.40%,47.60%,Unfavorable +11.2
20-Apr,29-Apr,30-Apr,36.40%,47.60%,Unfavorable +11.2
21-Apr,30-Apr,1-May,35.80%,47.70%,Unfavorable +11.9
